category,value,observation_type,month,date
47.11+47.2 retail sale with mostly food,,Constant prices,2015M01,2015-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,81.4,Constant prices,2015M01,2015-01-01
47.64 sports shops,62.5,Constant prices,2015M01,2015-01-01
47.71 clothing stores,106.3,Constant prices,2015M01,2015-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",65.4,Constant prices,2015M01,2015-01-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M02,2015-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,68.9,Constant prices,2015M02,2015-02-01
47.64 sports shops,59.9,Constant prices,2015M02,2015-02-01
47.71 clothing stores,84.9,Constant prices,2015M02,2015-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",64.2,Constant prices,2015M02,2015-02-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M03,2015-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,80.8,Constant prices,2015M03,2015-03-01
47.64 sports shops,80.9,Constant prices,2015M03,2015-03-01
47.71 clothing stores,104.1,Constant prices,2015M03,2015-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",72.1,Constant prices,2015M03,2015-03-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M04,2015-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,78.6,Constant prices,2015M04,2015-04-01
47.64 sports shops,88.5,Constant prices,2015M04,2015-04-01
47.71 clothing stores,105.1,Constant prices,2015M04,2015-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",70.5,Constant prices,2015M04,2015-04-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M05,2015-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,81.0,Constant prices,2015M05,2015-05-01
47.64 sports shops,90.4,Constant prices,2015M05,2015-05-01
47.71 clothing stores,118.1,Constant prices,2015M05,2015-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",78.3,Constant prices,2015M05,2015-05-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M06,2015-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,82.6,Constant prices,2015M06,2015-06-01
47.64 sports shops,92.3,Constant prices,2015M06,2015-06-01
47.71 clothing stores,140.7,Constant prices,2015M06,2015-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",80.8,Constant prices,2015M06,2015-06-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M07,2015-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.7,Constant prices,2015M07,2015-07-01
47.64 sports shops,103.6,Constant prices,2015M07,2015-07-01
47.71 clothing stores,142.1,Constant prices,2015M07,2015-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",69.9,Constant prices,2015M07,2015-07-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M08,2015-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,84.1,Constant prices,2015M08,2015-08-01
47.64 sports shops,87.8,Constant prices,2015M08,2015-08-01
47.71 clothing stores,114.1,Constant prices,2015M08,2015-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",74.9,Constant prices,2015M08,2015-08-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M09,2015-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,85.6,Constant prices,2015M09,2015-09-01
47.64 sports shops,75.9,Constant prices,2015M09,2015-09-01
47.71 clothing stores,114.9,Constant prices,2015M09,2015-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",78.2,Constant prices,2015M09,2015-09-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M10,2015-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.0,Constant prices,2015M10,2015-10-01
47.64 sports shops,78.5,Constant prices,2015M10,2015-10-01
47.71 clothing stores,120.6,Constant prices,2015M10,2015-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",80.0,Constant prices,2015M10,2015-10-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M11,2015-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.8,Constant prices,2015M11,2015-11-01
47.64 sports shops,72.9,Constant prices,2015M11,2015-11-01
47.71 clothing stores,105.1,Constant prices,2015M11,2015-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",90.8,Constant prices,2015M11,2015-11-01
47.11+47.2 retail sale with mostly food,,Constant prices,2015M12,2015-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,91.0,Constant prices,2015M12,2015-12-01
47.64 sports shops,107.3,Constant prices,2015M12,2015-12-01
47.71 clothing stores,157.2,Constant prices,2015M12,2015-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",156.3,Constant prices,2015M12,2015-12-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M01,2016-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,84.6,Constant prices,2016M01,2016-01-01
47.64 sports shops,66.1,Constant prices,2016M01,2016-01-01
47.71 clothing stores,108.4,Constant prices,2016M01,2016-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",74.2,Constant prices,2016M01,2016-01-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M02,2016-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,77.5,Constant prices,2016M02,2016-02-01
47.64 sports shops,61.7,Constant prices,2016M02,2016-02-01
47.71 clothing stores,90.2,Constant prices,2016M02,2016-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",70.0,Constant prices,2016M02,2016-02-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M03,2016-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,88.5,Constant prices,2016M03,2016-03-01
47.64 sports shops,81.6,Constant prices,2016M03,2016-03-01
47.71 clothing stores,100.3,Constant prices,2016M03,2016-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",85.0,Constant prices,2016M03,2016-03-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M04,2016-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,84.3,Constant prices,2016M04,2016-04-01
47.64 sports shops,89.9,Constant prices,2016M04,2016-04-01
47.71 clothing stores,100.4,Constant prices,2016M04,2016-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",80.0,Constant prices,2016M04,2016-04-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M05,2016-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,80.4,Constant prices,2016M05,2016-05-01
47.64 sports shops,97.5,Constant prices,2016M05,2016-05-01
47.71 clothing stores,119.6,Constant prices,2016M05,2016-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",83.2,Constant prices,2016M05,2016-05-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M06,2016-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,82.6,Constant prices,2016M06,2016-06-01
47.64 sports shops,96.5,Constant prices,2016M06,2016-06-01
47.71 clothing stores,135.2,Constant prices,2016M06,2016-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",87.0,Constant prices,2016M06,2016-06-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M07,2016-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.2,Constant prices,2016M07,2016-07-01
47.64 sports shops,102.1,Constant prices,2016M07,2016-07-01
47.71 clothing stores,129.6,Constant prices,2016M07,2016-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",74.8,Constant prices,2016M07,2016-07-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M08,2016-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.1,Constant prices,2016M08,2016-08-01
47.64 sports shops,91.6,Constant prices,2016M08,2016-08-01
47.71 clothing stores,118.4,Constant prices,2016M08,2016-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",83.1,Constant prices,2016M08,2016-08-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M09,2016-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.2,Constant prices,2016M09,2016-09-01
47.64 sports shops,76.0,Constant prices,2016M09,2016-09-01
47.71 clothing stores,106.6,Constant prices,2016M09,2016-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",81.2,Constant prices,2016M09,2016-09-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M10,2016-10-01
