category,date,forecast
47.11+47.2 retail sale with mostly food,2026-08-01,99.12791436192052
47.11+47.2 retail sale with mostly food,2026-09-01,99.24592561287302
47.11+47.2 retail sale with mostly food,2026-10-01,99.36393686382554
47.11+47.2 retail sale with mostly food,2026-11-01,99.48194811477805
47.11+47.2 retail sale with mostly food,2026-12-01,99.59995936573057
47.11+47.2 retail sale with mostly food,2027-01-01,99.71797061668308
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,2026-08-01,82.31284034767482
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,2026-09-01,82.79625550861199
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,2026-10-01,83.27967066954915
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,2026-11-01,83.7630858304863
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,2026-12-01,84.24650099142346
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,2027-01-01,84.72991615236063
47.64 sports shops,2026-08-01,86.0959947222326
47.64 sports shops,2026-09-01,86.12287941816956
47.64 sports shops,2026-10-01,86.14976411410652
47.64 sports shops,2026-11-01,86.17664881004347
47.64 sports shops,2026-12-01,86.20353350598043
47.64 sports shops,2027-01-01,86.23041820191739
47.71 clothing stores,2026-08-01,99.1177977505857
47.71 clothing stores,2026-09-01,98.98949604815213
47.71 clothing stores,2026-10-01,98.86119434571856
47.71 clothing stores,2026-11-01,98.73289264328498
47.71 clothing stores,2026-12-01,98.60459094085141
47.71 clothing stores,2027-01-01,98.47628923841785
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",2026-08-01,148.36580518524778
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",2026-09-01,148.88005780528022
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",2026-10-01,149.39431042531268
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",2026-11-01,149.90856304534515
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",2026-12-01,150.42281566537758
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",2027-01-01,150.93706828541005
